robax_1,robax_2,robax_3,robax_4,robax_5,robax_6,extax_1,extax_2,extax_3,extax_4,extax_5,extax_6
-86.58972,-24.099277,-19.077372,-8.103655,28.462885,-68.1291,0,0,0,0,0,0
-88.09226,-23.89958,-18.787218,-8.163452,29.67185,-69.56058,0,0,0,0,0,0
-89.38958,-23.543644,-18.3186,-8.164571,30.974615,-70.92173,0,0,0,0,0,0
-90.68004,-23.182497,-17.84403,-8.163735,32.280506,-72.28055,0,0,0,0,0,0
-91.970505,-22.821352,-17.36946,-8.162899,33.586407,-73.63937,0,0,0,0,0,0
-93.10488,-22.362219,-16.775131,-8.110179,34.95009,-74.94732,0,0,0,0,0,0
-94.14066,-21.8412,-16.10517,-8.024692,36.350273,-76.22314,0,0,0,0,0,0
-95.176445,-21.32018,-15.435204,-7.939204,37.750454,-77.49896,0,0,0,0,0,0
-96.150734,-20.764694,-14.723982,-7.8338475,39.165855,-78.752106,0,0,0,0,0,0
-96.9482,-20.110115,-13.894141,-7.671371,40.62502,-79.94004,0,0,0,0,0,0
-97.745674,-19.455534,-13.064301,-7.5088935,42.084183,-81.12797,0,0,0,0,0,0
-98.543144,-18.800947,-12.234454,-7.3464155,43.543358,-82.31591,0,0,0,0,0,0
-99.147354,-18.05306,-11.302736,-7.1257606,45.02351,-83.42156,0,0,0,0,0,0
-99.73087,-17.295176,-10.360103,-6.898874,46.50591,-84.51839,0,0,0,0,0,0
-100.314384,-16.53729,-9.41747,-6.6719866,47.988308,-85.61522,0,0,0,0,0,0
-100.80162,-15.737238,-8.437945,-6.419033,49.461704,-86.66829,0,0,0,0,0,0
-101.20956,-14.902457,-7.4280376,-6.1446137,50.927692,-87.68533,0,0,0,0,0,0
-101.61751,-14.067671,-6.4181237,-5.870192,52.39369,-88.70238,0,0,0,0,0,0
-101.99693,-13.224506,-5.404039,-5.589502,53.849167,-89.70385,0,0,0,0,0,0
-102.25749,-12.346412,-4.372552,-5.2826853,55.260876,-90.64043,0,0,0,0,0,0
-102.51807,-11.468315,-3.3410652,-4.9758687,56.67258,-91.576996,0,0,0,0,0,0
-102.77864,-10.590219,-2.309578,-4.669052,58.084286,-92.51357,0,0,0,0,0,0
-102.94505,-9.709313,-1.2965734,-4.3542323,59.413284,-93.37399,0,0,0,0,0,0
-103.093376,-8.82786,-0.28711653,-4.0378714,60.726383,-94.219765,0,0,0,0,0,0
-103.24169,-7.946414,0.72233385,-3.7215126,62.03947,-95.06553,0,0,0,0,0,0
-103.34827,-7.0831566,1.7030934,-3.4102774,63.2873,-95.85718,0,0,0,0,0,0
-103.41034,-6.2393003,2.6532497,-3.104508,64.46551,-96.59109,0,0,0,0,0,0
-103.4724,-5.395444,3.6034062,-2.7987385,65.64372,-97.325005,0,0,0,0,0,0
